Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,2689.795517,2693.7405,2630.610391,3541.789295,3694.288794,4549.874632,6191.743408,7240.429537,5809.873993,5819.839216,7043.344711,7180.537905,6089.275259,6441.509228,7814.413113,8392.987726,8885.04784,10090.12507,11130.93395,12049.75564,12024.108,13073.50426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8060.021365,9347.568466,10102.11843,12012.15929,13167.16381,17911.78406,18578.80521,21542.3943,24883.27591,28234.40818,33015.04253,35290.4924,35254.45434,35531.19664,34562.24496,35415.92449,35717.56109
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7732337,59.86089999,58.4580087,78.70642878,82.09530653,101.1083252,137.594298,160.8984342,129.108311,129.3297604,156.5187713,159.567509,135.317228,143.1446495,173.6536247,186.5108383,197.4455076,224.2250016,247.3540878,275.7381154,272.6555102,264.1111971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.663542,437.2687402,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.868380295,-2.875203167,7.207967218,2.253310644,11.02278717,1.594215458,18.51541929,11.26409057,-2.681061056,8.974865343,1.97416569,-0.665291051,-1.622857186,-0.541416196,0.064764195,-1.194900383
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5610.773515,5691.064307,5735.339646,5676.071393,5486.778985,5490.049454,5550.987797,5398.347065,5222.194571,5583.964773,4937.843484,4846.852721,15070.44418,37485.43591,55488.64923,69579.15593,105541.5142,105239.653,123012.4052,142690.7936,162251.4144,184123.2505,200095.706,222968.296,243697.0154,267031.8683,291636.1882,325091.7419,366664.6988,390752.7159,425553.0599,447689.0536,459526.4586,466324.7316,482954.2308,497901.7275,511970.5462,539644.4074,571010.5722
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.516484446,13.60806912,7.630022432,9.314397145,4.850475331,5.924211542,5.956569595,6.067882433,6.572922984,6.787228941,8.328108421,4.053139866,4.223083825,2.821642455,1.584872815,1.187234353,1.985388094,2.516827051,3.480293217,3.897740606,4.276325655
Algeria,DZA,GDP per capita (current LCU),NY.GDP.PCAP.CN,1216.026251,1060.350743,850.378491,1120.205527,1175.245603,1233.700251,1163.171528,1253.647023,1391.895799,1494.718201,1659.974931,1677.107201,1983.417092,2196.385652,3419.847002,3699.758751,4320.388692,4946.07176,5776.013682,6869.275289,8454.005026,9654.819109,10150.14901,11074.84523,12295.77246,12986.1991,12964.02941,13615.55022,14298.29668,16860.38273,21577.03189,31988.0684,38781.53108,42192.08191,52864.24456,69219.51133,87813.96721,93474.15462,93747.67459,105742.5813,132835.59,134400.9428,141979.5129,162791.195,188091.5277,228116.0746,252716.4541,273740.5265,317981.9159,282109.5344,333307.771,397925.7988,433598.3788,436493.4471,442625.0154,420677.547,431911.9898,456065.5402,482933.6834
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,246.3037513,214.7719801,172.242509,226.8954501,238.0437104,249.8835856,235.5981301,253.9237655,281.9257863,302.7522637,336.2246929,341.3889185,442.6776235,554.292909,818.0082289,936.7900822,1037.60716,1192.744227,1456.419396,1782.69932,2203.055461,2237.086776,2210.302036,2312.655619,2467.346082,2582.879013,2756.954981,2807.503603,2417.376189,2215.963873,2408.822985,1731.62137,1776.028278,1807.297451,1507.886663,1452.278434,1603.940302,1619.797749,1596.003926,1588.348908,1765.027146,1740.606654,1781.828908,2103.381291,2610.185422,3113.094883,3478.710002,3950.512993,4923.631615,3883.2709,4480.786318,5455.679403,5592.220115,5499.587331,5493.056695,4177.889542,3946.452447,4109.698217,4142.018558
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-15.72768484,-21.64450698,31.01054551,3.164562899,3.421130047,-7.400138058,6.382562176,7.645446898,5.363105422,5.82768647,-13.75980674,23.9750428,1.012377687,4.571497194,2.144095791,5.353889857,2.282737517,6.081383703,4.333599726,-2.218472323,-0.131096614,3.129882768,2.158496685,2.389318832,0.612187084,-2.515552926,-3.506381203,-3.710312411,1.644189195,-1.754076492,-3.601082431,-0.564788753,-4.250986637,-2.931116597,1.836410561,2.290823348,-0.519902353,3.534368527,1.74870316,2.399496544,1.659672589,4.262072013,5.840905136,2.934541622,4.43825778,0.214792143,1.808252618,0.738194545,-0.134681878,1.746790655,0.980209993,1.40174756,0.76169938,1.710454903,1.600493697,1.104570156,-0.750456692,-0.909245791
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11521.60978
